max_depth,learning_rate,n_estimators,subsample,colsample_bytree,MAE,RMSE,MAPE
4,0.03,300,1.0,0.8,1023.9692656269708,1347.3970627824863,3.0112359852646633
4,0.03,300,0.8,0.8,1024.4584749069752,1350.4830316686505,3.014221839178033
4,0.05,300,1.0,1.0,1025.8222335984801,1341.1037231259902,3.0189697251801015
4,0.03,500,1.0,0.8,1025.9565481422649,1338.6766249526356,3.0190922501340682
4,0.03,500,1.0,1.0,1028.5007905623265,1342.7696617522622,3.0279630966907463
4,0.03,300,1.0,1.0,1029.7055607400196,1354.0246281964846,3.0311145231605487
4,0.03,500,0.8,1.0,1031.4720743527687,1351.6336707647827,3.033094580334413
4,0.05,300,1.0,0.8,1031.4786245151677,1344.8113371163067,3.035086241102963
4,0.03,500,0.8,0.8,1031.5329644042477,1348.125581568586,3.03613189086658
4,0.03,300,0.8,1.0,1031.5546579370584,1361.019226923452,3.0322787148651154
4,0.05,300,0.8,1.0,1034.600898565606,1352.0802800938764,3.0435619795744113
4,0.05,300,0.8,0.8,1035.370862173625,1354.044374983096,3.046626115659269
4,0.03,700,1.0,0.8,1038.7955988663598,1347.570325837029,3.058750476201857
4,0.03,700,1.0,1.0,1038.8281205655587,1350.2585237049182,3.0592692552606935
6,0.03,300,0.8,0.8,1043.0861092114185,1368.3626270591492,3.060634451803143
6,0.03,300,1.0,0.8,1043.5810497603431,1379.3431945198913,3.059615990777785
4,0.03,700,0.8,0.8,1043.6800875851413,1355.8447218401488,3.0730276793403064
4,0.03,700,0.8,1.0,1043.9576175816726,1358.686334589281,3.071393447849059
4,0.05,500,1.0,1.0,1046.1699516842993,1351.242131840655,3.079493575465829
6,0.03,300,0.8,1.0,1047.303592932092,1390.7862014899365,3.06799336624385
6,0.03,300,1.0,1.0,1049.0738543867462,1393.6532181201194,3.071951489090605
4,0.05,500,1.0,0.8,1049.938069579339,1357.198484980849,3.092111538319886
4,0.05,500,0.8,1.0,1050.5915007528695,1360.2661083195585,3.09375860775774
4,0.05,500,0.8,0.8,1055.0784896096116,1368.4440755147264,3.1058506725954347
6,0.03,500,1.0,0.8,1056.3594979325649,1387.4212943271896,3.1019285220057418
6,0.05,300,0.8,0.8,1058.8232867782701,1380.8909528336974,3.109074670589351
6,0.03,500,0.8,0.8,1060.1690224225056,1379.3655579440078,3.113320219079578
6,0.03,500,1.0,1.0,1061.2515306212947,1398.7730025421,3.112388780752436
4,0.05,700,1.0,1.0,1061.506326962191,1363.116220842328,3.1275794895414135
6,0.03,500,0.8,1.0,1062.1922399249495,1397.0175495216222,3.1162558088403065
4,0.05,700,1.0,0.8,1063.554625417823,1370.0550034375663,3.1333779434819715
4,0.05,700,0.8,1.0,1064.6837292468151,1370.320167051121,3.138758330229656
6,0.05,300,1.0,1.0,1065.046927474221,1398.5132533730423,3.1248964245908293
8,0.03,300,0.8,1.0,1065.0722981442357,1423.4574524154486,3.110009901394248
6,0.03,700,1.0,0.8,1067.1233856170377,1397.4790005163034,3.1355063676746626
6,0.05,300,0.8,1.0,1068.5716435714398,1406.7597577536073,3.1342827852970454
4,0.05,700,0.8,0.8,1068.7353328393037,1378.85687697488,3.1482813179858655
6,0.05,300,1.0,0.8,1069.4379096930973,1405.5095335049452,3.1381581533308807
8,0.03,300,1.0,1.0,1071.2265388496469,1431.9176424667398,3.128706388873063
6,0.03,700,1.0,1.0,1071.7990035317862,1407.2670957565517,3.145575172235318
6,0.03,700,0.8,0.8,1072.118606274833,1389.29513738017,3.1511134910037986
6,0.05,500,0.8,0.8,1074.5184842291562,1390.5017352098926,3.160306785617386
8,0.03,300,0.8,0.8,1075.2913693948663,1416.0683392738624,3.1464126252509708
6,0.03,700,0.8,1.0,1077.485005429727,1409.5062420689069,3.1636690510661634
8,0.03,500,0.8,1.0,1079.3209904767912,1432.0584687484516,3.15766388291368
8,0.03,500,1.0,1.0,1081.6254794123677,1439.726839491117,3.1635769786097176
8,0.03,300,1.0,0.8,1081.9953458075806,1433.416332453244,3.1598596518451103
8,0.05,300,0.8,1.0,1082.7704713515388,1438.6802241387281,3.1676106106053967
6,0.05,500,1.0,1.0,1083.0132513421574,1413.982908864422,3.1808211683836256
8,0.03,500,0.8,0.8,1085.4416272329875,1424.4704740188427,3.179676572470508
6,0.05,700,0.8,0.8,1085.8624860068744,1402.3349403579127,3.195517934058232
8,0.03,700,1.0,1.0,1086.2415132185765,1442.073843410105,3.1804106110580133
8,0.05,300,1.0,0.8,1087.2128406143574,1438.2704882176608,3.1775853885220964
6,0.05,500,0.8,1.0,1087.2275898122161,1420.498367141777,3.19258528946377
8,0.03,700,0.8,1.0,1088.1246622433937,1438.2143255338012,3.185584863158607
6,0.05,500,1.0,0.8,1088.7041067360149,1424.2112324218795,3.196027834093447
8,0.05,300,0.8,0.8,1089.3111731166434,1430.531040675251,3.191122603236538
8,0.05,300,1.0,1.0,1091.4156475663788,1448.5618809200844,3.1903028124230284
8,0.03,700,0.8,0.8,1091.8243234520844,1428.7869048397476,3.201400627571818
8,0.03,500,1.0,0.8,1093.2629946372824,1440.841768601424,3.1958374819833137
8,0.05,500,0.8,1.0,1093.6653945568712,1447.6291236658415,3.2028236382175486
